Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,862462382.6178683,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,5868648.289108848,57461.18167658313,0.0,39732626.958489369,39660626.958489369,72000.0 
 01/01  02:00:00,861806365.4226828,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,5216576.256985644,53516.0186143153,0.0,44657308.41085653,36777876.40622391,7879432.00463262 
 01/01  03:00:00,863138232.5493759,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,6520720.321232054,81239.08106088796,0.0,66527067.01403929,58647627.98156475,7879439.032474544 
 01/01  04:00:00,861826105.5755706,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,5216576.256985644,73256.17150184866,0.0,60118489.97054447,52238347.66398124,7880142.306563241 
 01/01  05:00:00,907181303.6674312,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,87999824.17582415,6520720.321232054,124398.11120411896,0.0,98948450.31643512,91068255.03603424,7880195.280400867 
 01/01  06:00:00,993874741.630536,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,175999648.3516483,5216576.256985644,122155.96273127527,0.0,90787943.3090747,82898728.82511857,7889214.483956145 
 01/01  07:00:00,1171209371.8929678,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,351999296.7032966,6520720.321232054,152993.80926818995,0.0,114343640.83719565,106463401.26147397,7880239.57572169 
 01/01  08:00:00,1134824291.266208,0.0,0.0,89713308.72273873,61514400.0,538279852.336432,439999120.8791207,5216576.256985644,101033.07093067821,0.0,76105348.17732585,68225085.45770467,7880262.719621187 
 01/01  09:00:00,1074585717.9715317,0.0,0.0,89713308.72273873,0.0,538279852.336432,439999120.8791207,6520720.321232054,72715.71200804832,0.0,55739803.41225587,47859524.35882619,7880279.053429683 
 01/01  10:00:00,941247335.3704509,0.0,0.0,89713308.72273873,0.0,538279852.336432,307999384.6153846,5216576.256985644,38213.438909850454,0.0,31039928.281137445,23159640.832912934,7880287.448224511 
